ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,combined_score
LQDA,37.46,37.11,0.93,OPTIMAL,95,1.48,0.9,34.91,7.29,,,,0.001,-11.0,69.1,129.0,clean,54.2,CAUTION,-19.7,3,Parabolic,8.52,-7.6,10.05,,equity,Equity,7.0,False,False,73.7
DGX,201.71,201.71,-0.0,OPTIMAL,95,1.48,0.9,204.98,-1.6,,,,0.15,-28.0,50.3,217.0,clean,75.1,CAUTION,-5.5,2,Sustained Uptrend,-1.12,-1.78,12.3,XLRE,equity,Equity,7.0,False,False,73.4
CHAT,63.5,63.07,0.67,OPTIMAL,95,1.48,0.9,63.27,0.37,,,,0.001,-3.2,42.3,224.0,clean,84.0,HEALTHY,-5.0,2,Sustained Uptrend,2.29,1.21,1.67,XLK,index,Index,25.0,False,False,73.3
SYRE,40.2,38.31,4.94,OPTIMAL,95,1.48,0.9,41.16,-2.34,,,,0.317,181.8,54.7,207.0,clean,69.0,CAUTION,-12.2,3,Parabolic,-0.96,19.78,19.36,VXUS,equity,Equity,7.0,False,False,73.1
LINC,37.41,31.68,18.06,FAIR,55,1.67,1.01,36.46,2.6,,,,0.818,395.5,82.2,44.0,clean,83.4,HEALTHY,-1.2,3,Parabolic,4.08,39.01,71.27,TLT,equity,Equity,,False,False,73.0
VIXM,16.6,15.67,5.95,OPTIMAL,90,1.5,1.11,16.17,2.68,,,,0.807,100.2,60.7,182.0,clean,67.5,CAUTION,-2.5,1,Basing,3.62,8.64,5.0,,equity,Equity,12.0,False,False,73.0
VRT,268.71,234.85,14.42,GOOD,55,1.52,-5.49,257.38,4.4,,,,0.536,128.0,74.3,92.0,clean,92.2,HEALTHY,-2.9,3,Parabolic,7.59,34.61,50.64,XLK,index,Index,28.0,False,False,72.9
PPTA,31.38,30.95,1.38,OPTIMAL,95,1.48,0.12,33.65,-6.76,,,,0.344,197.9,60.9,179.0,clean,60.0,CAUTION,-16.0,3,Parabolic,-3.18,6.09,18.19,IAU,miner,Miner,5.0,False,False,72.6
SQM,75.76,73.78,2.68,OPTIMAL,95,1.48,0.9,73.81,2.64,,,,0.061,40.3,64.3,164.0,clean,55.9,CAUTION,-12.0,3,Parabolic,7.28,7.8,20.45,IAU,sector,Sector,34.0,False,False,72.5
DOW,37.23,31.63,17.71,FAIR,65,1.67,3.44,33.14,12.33,ELEVATED,1.51,0.6,0.278,129.6,67.7,140.0,clean,86.1,HEALTHY,-0.8,3,Parabolic,10.41,10.8,61.1,XLB,sector,Sector,34.0,False,False,72.3
PARXF,18.61,15.87,17.29,FAIR,35,1.67,-1.24,16.88,10.26,ELEVATED,1.51,0.6,0.811,212.9,96.6,3.0,clean,86.9,HEALTHY,0.0,3,Parabolic,12.45,21.24,45.39,XLE,commodity,Commodity,9.0,False,False,72.1
WEAT,23.07,21.66,6.53,OPTIMAL,90,1.5,1.11,22.57,2.19,,,,0.75,121.0,62.9,172.0,clean,60.0,CAUTION,-2.9,2,Sustained Uptrend,3.22,11.61,11.72,DBA,commodity,Commodity,21.0,False,False,71.5
INSW,68.07,67.21,1.29,OPTIMAL,95,1.48,0.9,73.55,-7.46,,,,0.566,203.9,58.0,194.0,stalling,59.6,CAUTION,-13.3,3,Parabolic,-6.18,12.25,37.46,XLV,commodity,Commodity,45.0,False,False,71.4
