ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
PLTR,153.43,141.95,8.09,OPTIMAL,90,1.5,1.11,152.15,0.84,,,,0.809,261.0,0.0,243.0,clean,29.1,WARNING,-22.9,0,Deep Decline,-2.37,13.08,-18.35,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",40.2
FIG,26.64,26.08,2.17,OPTIMAL,95,1.48,0.9,28.86,-7.66,,,,0.394,273.9,0.0,,,22.8,WARNING,-33.7,1,Unknown,,,,,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -4.67, 'median_ttg': 2.0, 'prob_good': 30.1, 'prob_bad': 50.7}",40.1
UNH,282.71,282.69,0.01,OPTIMAL,95,1.48,0.9,285.28,-0.9,,,,0.023,-10.5,0.0,243.0,clean,22.5,WARNING,-21.0,0,Deep Decline,-1.32,1.36,-13.91,XLV,equity,Equity,7.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.42, 'median_ttg': 1.0, 'prob_good': 27.3, 'prob_bad': 52.7}",40.0
BITO,10.13,9.54,6.13,OPTIMAL,90,1.5,1.11,9.69,4.5,,,,0.45,97.4,0.0,,,27.2,WARNING,-26.1,0,Deep Decline,,,,,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",39.7
RBRK,54.49,53.6,1.68,OPTIMAL,95,1.48,0.9,55.46,-1.75,,,,0.247,93.2,0.0,243.0,clean,21.5,WARNING,-39.2,0,Deep Decline,-4.68,-1.13,-39.39,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",39.7
SKYY,113.12,112.17,0.85,OPTIMAL,95,1.48,0.9,112.28,0.75,,,,0.035,14.4,0.0,243.0,clean,20.8,WARNING,-16.2,0,Deep Decline,-0.04,0.04,-16.55,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",39.5
ARKF,40.83,39.52,3.34,OPTIMAL,95,1.48,0.9,40.78,0.14,,,,0.736,138.0,0.0,243.0,clean,20.5,WARNING,-19.3,0,Deep Decline,0.33,4.89,-19.7,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",39.4
LEU,225.2,217.93,3.33,OPTIMAL,95,1.48,0.12,202.87,11.01,ELEVATED,1.51,0.6,0.065,44.9,0.0,243.0,clean,20.4,WARNING,-34.8,0,Deep Decline,19.22,7.16,-14.88,XLK,miner,Miner,29.0,False,False,"{'grade': 'OK', 'median_mae': -4.67, 'median_ttg': 2.0, 'prob_good': 30.1, 'prob_bad': 50.7}",39.4
HUBS,266.64,252.02,5.8,OPTIMAL,90,1.5,1.11,274.51,-2.87,,,,0.472,232.8,0.0,243.0,clean,26.1,WARNING,-34.5,0,Deep Decline,-10.09,27.38,-32.06,,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",39.3
ARKW,130.0,126.29,2.94,OPTIMAL,95,1.48,0.9,128.96,0.81,,,,0.674,92.8,0.0,243.0,clean,19.9,BREAKDOWN,-18.3,0,Deep Decline,1.79,3.45,-18.63,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",39.2
MSTR,144.84,132.67,9.17,OPTIMAL,90,1.5,1.11,138.8,4.35,,,,0.573,151.4,0.0,243.0,clean,25.8,WARNING,-23.9,0,Deep Decline,8.47,14.89,-21.56,XLK,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",39.2
APP,458.9,437.17,4.97,OPTIMAL,95,1.48,0.9,472.97,-2.97,,,,0.692,340.1,0.0,243.0,clean,19.0,BREAKDOWN,-37.8,0,Deep Decline,-8.61,0.46,-34.75,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",39.0
VIXY,32.27,28.52,13.13,GOOD,75,1.52,1.24,31.17,3.53,,,,0.634,249.7,0.0,243.0,clean,42.1,WARNING,-10.9,0,Deep Decline,-6.33,22.98,11.05,,equity,Equity,12.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -8.34, 'median_ttg': 3.0, 'prob_good': 15.2, 'prob_bad': 71.7}",38.9
VXX,33.44,29.49,13.4,GOOD,75,1.52,1.24,32.24,3.73,,,,0.637,251.2,0.0,243.0,clean,42.2,WARNING,-10.7,0,Deep Decline,-6.25,23.3,11.39,,equity,Equity,12.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -8.34, 'median_ttg': 3.0, 'prob_good': 15.2, 'prob_bad': 71.7}",38.9
BKNG,4309.91,4301.14,0.2,OPTIMAL,95,1.48,0.9,4337.43,-0.63,,,,0.373,101.9,0.0,243.0,clean,18.5,BREAKDOWN,-21.9,0,Deep Decline,-5.29,-0.06,-18.33,XLY,index,Index,1.0,False,False,"{'grade': 'OK', 'median_mae': -4.21, 'median_ttg': 2.0, 'prob_good': 32.9, 'prob_bad': 46.8}",38.8
MARA,9.41,8.3,13.31,GOOD,75,1.52,1.24,8.81,6.77,,,,0.573,229.3,0.0,,,41.6,WARNING,-23.2,0,Deep Decline,,,,,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.06, 'median_ttg': 1.0, 'prob_good': 22.9, 'prob_bad': 60.0}",38.7
CC,18.18,18.19,-0.04,BELOW SMA,15,,,17.44,4.22,,,,0.458,-205.2,45.6,231.0,clean,57.0,CAUTION,-16.8,3,Parabolic,10.79,-13.51,39.2,XLB,sector,Sector,34.0,False,False,,38.3
ETHE,17.84,16.57,7.67,OPTIMAL,90,1.5,1.11,16.81,6.11,,,,0.359,104.7,0.0,243.0,clean,21.6,WARNING,-35.9,0,Deep Decline,10.74,11.99,-35.22,XLK,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",38.0
FBTC,64.05,60.26,6.3,OPTIMAL,90,1.5,1.11,61.29,4.5,,,,0.464,101.6,0.0,243.0,clean,19.9,BREAKDOWN,-25.0,0,Deep Decline,7.99,8.89,-20.59,XLK,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",37.5
GBTC,57.12,53.93,5.92,OPTIMAL,90,1.5,1.11,54.81,4.21,,,,0.457,99.4,0.0,243.0,clean,20.1,WARNING,-25.3,0,Deep Decline,7.65,8.45,-21.05,XLK,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",37.5
IBIT,41.72,39.22,6.38,OPTIMAL,90,1.5,1.11,39.89,4.58,,,,0.466,101.8,0.0,243.0,clean,19.7,BREAKDOWN,-25.0,0,Deep Decline,8.08,8.96,-20.52,XLK,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",37.4
OSS,10.73,9.11,17.81,FAIR,35,1.67,-1.24,9.13,17.5,EXIT WATCH,1.59,0.49,0.114,112.3,0.0,,,76.2,CAUTION,-15.8,3,Parabolic,,,,,commodity,Commodity,21.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -9.3, 'median_ttg': 4.0, 'prob_good': 12.4, 'prob_bad': 76.6}",35.1
ICHR,42.87,43.17,-0.7,BELOW SMA,15,,,43.95,-2.47,,,,0.338,-181.8,35.6,240.0,clean,56.9,CAUTION,-22.5,3,Parabolic,7.12,-9.92,131.23,VXUS,equity,Equity,16.0,False,False,,34.8
IOT,31.82,28.27,12.54,GOOD,75,1.52,1.24,31.45,1.18,,,,0.706,331.9,0.0,243.0,clean,27.5,WARNING,-30.1,0,Deep Decline,-10.01,14.67,-29.32,,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.06, 'median_ttg': 1.0, 'prob_good': 22.9, 'prob_bad': 60.0}",34.5
COIN,200.16,177.04,13.06,GOOD,75,1.52,1.24,196.78,1.72,,,,0.776,367.8,0.0,243.0,clean,26.2,WARNING,-28.1,0,Deep Decline,1.49,30.66,-27.24,XLK,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.06, 'median_ttg': 1.0, 'prob_good': 22.9, 'prob_bad': 60.0}",34.1
AJINY,27.94,28.03,-0.31,BELOW SMA,15,,,29.33,-4.73,,,,0.019,-25.2,25.9,242.0,clean,60.0,CAUTION,-15.1,2,Sustained Uptrend,-4.61,-1.86,20.17,VXUS,index,Index,15.0,False,False,,32.3
UAMY,10.94,8.57,27.54,WARNING,25,1.66,2.33,9.63,13.57,ELEVATED,1.51,0.6,0.658,408.8,0.0,,,76.9,CAUTION,-8.7,3,Parabolic,,,,,equity,Equity,11.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -16.2, 'median_ttg': 3.0, 'prob_good': 14.6, 'prob_bad': 75.6}",31.8
