symbol,current_price,return_1m,return_3m,return_12m,sortino_1m,sortino_3m,current_slope,slope_trend,slope_acceleration,status,is_accelerating,is_decelerating,trajectory,volatility_ratio,has_divergence,divergence_type,divergence_strength,days_to_peak,days_to_nadir,signal,confidence
LINC,35.6129,33.58177044261066,73.04616132167156,94.07574931880109,17.75626271591355,16.35160310464255,0.45725841470424744,0.3028459652069384,0.10821508450099347,Accelerating,True,False,V-shaped,1.2700950407087521,False,,0.0,30.0,,STRONG_BUY,90
LQDA,30.4483,-28.171030903514982,-6.6861783634692085,96.56746287927696,-6.1587821412427575,-0.5973205786539056,-0.5267825227499136,-0.21860638823412928,-0.2782975009732132,Decelerating,False,True,V-shaped,1.2097820245334057,False,,0.0,,30.0,SELL,85
LHX,374.49,9.228525594283198,34.3751121317593,81.69424093930424,4.66905557815221,8.026663706114084,0.14714630450526536,0.15547230685035876,0.019842064665643654,Stable,False,False,V-shaped,1.2811026216225367,False,,0.0,30.0,,HOLD,50
LQD,110.775,0.18540291218234195,-0.9699624530663309,1.062859228172619,0.4673149663757857,-0.9656298422740474,0.016044056241805684,0.01201655569918756,0.003615032599149718,Stable,False,False,Slow,1.3860557054194806,False,,0.0,51.0,,HOLD,50
LNG,249.595,18.000661875945532,19.73280245610669,9.20327266363319,25.482422640536768,6.942246886413134,0.3161353574532791,0.26737986927165286,0.04404435852721423,Accelerating,True,False,V-shaped,0.7672919105269884,False,,0.0,30.0,,STRONG_BUY,90
LMT,673.185,6.143767147046764,47.02856768444501,49.4737660146102,3.613077587320648,8.57760792167864,0.2753153432756843,0.29012819690607633,0.015052463295574426,Stable,False,False,V-shaped,1.0152682919342617,False,,0.0,30.0,,HOLD,50
LLY,1034.09,-0.29503929036303056,-3.847620110277372,12.324169318835999,-0.10749253050205024,-0.6663059267517798,-0.23156129017939453,-0.2684785769991079,-0.018672040311692194,Stable,False,False,V-shaped,1.371820415715257,False,,0.0,30.0,,HOLD,50
LNC,34.27,-17.639990386926208,-16.699076324744766,-12.128205128205117,-4.199850763253957,-1.8802309136464104,-0.4058700364348446,-0.15912444918833493,-0.029838607793983143,Stable,False,False,V-shaped,1.406204486145033,False,,0.0,,30.0,SELL,85
LTH,26.325,-9.75317106616388,-5.712750716332382,-13.575180564674994,-5.794961086210726,-1.1737351078301994,-0.08920418025892125,0.10664830663875823,-0.037739284415294304,Decelerating,False,True,V-shaped,1.0039179636791586,False,,0.0,12.0,,SELL_SOON,70
LULU,176.4712,1.1296275071633222,-4.185470735150398,-51.732392440031724,0.5897816731252583,-0.5962839800504667,-0.15457595930531803,-0.13483829204940184,0.07790354889626884,Accelerating,True,False,V-shaped,0.835501407190413,False,,0.0,,43.0,SELL,85
LSCC,95.75,18.914555389965226,36.37658453211794,53.59319858838627,7.991619742331928,6.500267451820201,0.1386360819769853,0.24143687860882276,0.12501715443504058,Accelerating,True,False,V-shaped,1.276130027015252,False,,0.0,30.0,,STRONG_BUY,90
LOW,258.51,-3.201527746573807,6.610854503464214,3.9695945945946054,-1.4367221475397884,1.3602153335607685,-0.059267935021620366,0.1474296718583742,-0.03345589063843592,Decelerating,False,True,V-shaped,1.3476945227122443,False,,0.0,15.0,,SELL_SOON,70
LVHI,41.18,7.183758459135858,11.447902571041935,28.36658354114714,15.536980011365765,5.592099466214871,0.0562412409249311,0.06296787609266846,0.018582437889353393,Stable,False,False,Slow,0.35993392908679256,False,,0.0,38.0,,HOLD,50
